candidate,variant,classifier,regularization,validation_accuracy,validation_log_loss
original:logistic_regression:C=0.1,original,logistic_regression,0.1,0.9833333333333333,0.0857532334006451
original:logistic_regression:C=1.0,original,logistic_regression,1.0,0.9833333333333333,0.10043133553337946
original:logistic_regression:C=10.0,original,logistic_regression,10.0,0.9666666666666667,0.0976263870054915
original:linear_svc:C=0.1,original,linear_svc,0.1,0.9666666666666667,0.10054306110216207
original:rbf_svc:C=1.0,original,rbf_svc,1.0,0.9666666666666667,0.07716008128735874
original:rbf_svc:C=3.0,original,rbf_svc,3.0,0.9666666666666667,0.07894698042718057
horizontal_flip_augmented:logistic_regression:C=0.1,horizontal_flip_augmented,logistic_regression,0.1,0.9833333333333333,0.08964900454828387
horizontal_flip_augmented:logistic_regression:C=1.0,horizontal_flip_augmented,logistic_regression,1.0,0.9833333333333333,0.11081171779318102
horizontal_flip_augmented:logistic_regression:C=10.0,horizontal_flip_augmented,logistic_regression,10.0,0.9666666666666667,0.11545872861609043
horizontal_flip_augmented:linear_svc:C=0.1,horizontal_flip_augmented,linear_svc,0.1,0.9833333333333333,0.0873133599211979
horizontal_flip_augmented:rbf_svc:C=1.0,horizontal_flip_augmented,rbf_svc,1.0,0.9666666666666667,0.08016950276870333
horizontal_flip_augmented:rbf_svc:C=3.0,horizontal_flip_augmented,rbf_svc,3.0,0.9666666666666667,0.08075055714826293
